  - TABLE FOR GHG-X4 refrigerant REFPROP V4.0 simulation
   25.00     32.98      1.527     0.6548     0.2459      105.53    0.1467     V
   25.00     44.72     0.1275E-01  78.45     0.6153E-01   17.38    0.2430     L
  	  
   30.00     36.52      1.386     0.7213     0.2452      106.19    0.1479     V
   30.00     49.11     0.1283E-01  77.96     0.6438E-01   18.78    0.2438     L
  	  
   35.00     40.34      1.261     0.7930     0.2447      106.84    0.1490     V
   35.00     53.83     0.1291E-01  77.46     0.6722E-01   20.18    0.2447     L
  	  
   40.00     44.47      1.149     0.8702     0.2441      107.48    0.1501     V
   40.00     58.88     0.1299E-01  76.96     0.7004E-01   21.60    0.2456     L
  	  
   45.00     48.92      1.049     0.9533     0.2436      108.11    0.1513     V
   45.00     64.28     0.1308E-01  76.45     0.7285E-01   23.02    0.2464     L
  	  
   50.00     53.70     0.9591      1.043     0.2430      108.74    0.1525     V
   50.00     70.04     0.1317E-01  75.93     0.7565E-01   24.46    0.2472     L
  	  
   55.00     58.83     0.8784      1.138     0.2425      109.36    0.1536     V
   55.00     76.19     0.1326E-01  75.41     0.7844E-01   25.90    0.2480     L
  	  
   60.00     64.33     0.8056      1.241     0.2421      109.96    0.1548     V
   60.00     82.73     0.1336E-01  74.88     0.8121E-01   27.35    0.2488     L
  	  
   65.00     70.22     0.7400      1.351     0.2416      110.56    0.1560     V
   65.00     89.68     0.1345E-01  74.34     0.8398E-01   28.81    0.2496     L
  	  
   70.00     76.51     0.6806      1.469     0.2411      111.15    0.1572     V
   70.00     97.05     0.1355E-01  73.79     0.8673E-01   30.29    0.2503     L
  	  
   75.00     83.21     0.6268      1.595     0.2407      111.72    0.1584     V
   75.00     104.9     0.1366E-01  73.23     0.8948E-01   31.77    0.2510     L
  	  
   80.00     90.36     0.5780      1.730     0.2403      112.28    0.1597     V
   80.00     113.1     0.1376E-01  72.66     0.9221E-01   33.26    0.2518     L
  	  
   85.00     97.96     0.5336      1.874     0.2398      112.83    0.1609     V
   85.00     121.9     0.1387E-01  72.08     0.9494E-01   34.76    0.2524     L
  	  
   90.00     106.0     0.4931      2.028     0.2394      113.37    0.1622     V
   90.00     131.1     0.1399E-01  71.49     0.9766E-01   36.27    0.2531     L
  	  
   95.00     114.6     0.4562      2.192     0.2390      113.89    0.1635     V
   95.00     140.9     0.1411E-01  70.89     0.1004       37.80    0.2538     L
  	  
  100.00     123.7     0.4224      2.367     0.2386      114.40    0.1648     V
  100.00     151.1     0.1423E-01  70.28     0.1031       39.33    0.2544     L
  	  
  105.00     133.3     0.3915      2.554     0.2382      114.89    0.1661     V
  105.00     161.9     0.1436E-01  69.66     0.1058       40.88    0.2550     L
  	  
  110.00     143.5     0.3632      2.753     0.2378      115.36    0.1674     V
  110.00     173.3     0.1449E-01  69.03     0.1085       42.44    0.2556     L
  	  
  115.00     154.2     0.3372      2.966     0.2373      115.82    0.1688     V
  115.00     185.2     0.1462E-01  68.38     0.1112       44.02    0.2562     L
  	  
  120.00     165.5     0.3133      3.192     0.2369      116.26    0.1702     V
  120.00     197.7     0.1477E-01  67.72     0.1139       45.60    0.2567     L
  	  
  125.00     177.5     0.2912      3.434     0.2365      116.68    0.1716     V
  125.00     210.8     0.1492E-01  67.04     0.1166       47.20    0.2573     L
  	  
  130.00     190.1     0.2709      3.691     0.2360      117.08    0.1731     V
  130.00     224.5     0.1507E-01  66.35     0.1192       48.82    0.2577     L
  	  
  135.00     203.3     0.2522      3.966     0.2356      117.45    0.1746     V
  135.00     238.8     0.1524E-01  65.64     0.1219       50.45    0.2582     L
  	  
  140.00     217.3     0.2348      4.259     0.2351      117.80    0.1761     V
  140.00     253.8     0.1541E-01  64.91     0.1246       52.10    0.2586     L
  	  
  145.00     231.9     0.2187      4.572     0.2347      118.13    0.1776     V
  145.00     269.5     0.1558E-01  64.17     0.1273       53.76    0.2590     L
  	  
  150.00     247.2     0.2038      4.907     0.2342      118.43    0.1792     V
  150.00     285.8     0.1577E-01  63.40     0.1300       55.45    0.2594     L
  	  
  155.00     263.4     0.1899      5.265     0.2337      118.70    0.1808     V
  155.00     302.8     0.1597E-01  62.62     0.1327       57.15    0.2597     L
  	  
  160.00     280.2     0.1771      5.648     0.2331      118.95    0.1825     V
  160.00     320.5     0.1618E-01  61.81     0.1354       58.87    0.2600     L
  	  
  165.00     297.9     0.1650      6.059     0.2326      119.16    0.1842     V
  165.00     339.0     0.1640E-01  60.98     0.1381       60.61    0.2603     L
  	  
  170.00     316.4     0.1539      6.500     0.2320      119.33    0.1860     V
  170.00     358.2     0.1663E-01  60.12     0.1408       62.38    0.2605     L
  	  
  175.00     335.8     0.1434      6.974     0.2313      119.46    0.1878     V
  175.00     378.1     0.1688E-01  59.23     0.1436       64.17    0.2607     L
  	  
  180.00     356.0     0.1336      7.485     0.2307      119.56    0.1897     V
  180.00     398.8     0.1715E-01  58.32     0.1463       65.99    0.2608     L
  	  
  185.00     377.2     0.1244      8.038     0.2300      119.60    0.1917     V
  185.00     420.3     0.1743E-01  57.37     0.1491       67.84    0.2609     L
  	  
  190.00     399.3     0.1158      8.636     0.2292      119.60    0.1937     V
  190.00     442.5     0.1773E-01  56.39     0.1519       69.72    0.2609     L
  	  
  195.00     422.4     0.1077      9.288     0.2283      119.53    0.1959     V
  195.00     465.6     0.1806E-01  55.37     0.1547       71.63    0.2609     L
  	  
  200.00     446.5     0.9999E-01  10.00     0.2274      119.40    0.1981     V
  200.00     489.4     0.1842E-01  54.30     0.1575       73.58    0.2608     L
  	  
  205.00     471.6     0.9271E-01  10.79     0.2264      119.18    0.2004     V
  205.00     514.1     0.1880E-01  53.19     0.1604       75.58    0.2606     L
  	  
  210.00     497.9     0.8578E-01  11.66     0.2253      118.88    0.2029     V
  210.00     539.6     0.1922E-01  52.03     0.1634       77.62    0.2603     L
  	  
  215.00     525.3     0.7913E-01  12.64     0.2241      118.45    0.2056     V
  215.00     565.9     0.1968E-01  50.81     0.1663       79.72    0.2600     L
  	  
  220.00     554.0     0.7270E-01  13.75     0.2226      117.87    0.2085     V
  220.00     593.1     0.2019E-01  49.53     0.1694       81.88    0.2595     L
  	  
  225.00     528.7     0.8620E-01  11.60     0.2300      122.54    0.2058     V
  225.00     528.7     0.1606E-01  62.25     0.1618       78.96    0.2763     L
